Country Name,Country Code,elec_use_capita_2014,elec_access_2014,pop_2014,per_industry,per_residential,per_commercial,Industry_total_electricity(GWh),Residential_total_electricity(GWh),Commercial_total_electricity(GWh)
Pakistan,PAK,447.501002589131,70.9899444580078,195306825,0.29559597893729056,0.4684059358544758,0.13451412158927714,18340.315018795834,29062.345337476476,8345.957117864986
Panama,PAN,2064.17579713507,93.7287979125977,3901315,0.4628890662410216,0.5371109337589784,0.0,3493.8774585976607,4054.1026373038367,0.0
Paraguay,PRY,1552.38421668465,99.000716,6599526,0.20052083333333331,0.6432291666666666,0.15625,2033.8072871703084,6524.031167935925,1584.7848990937468
Peru,PER,1345.8795888743,92.919989,30090359,0.5671140939597316,0.2906040268456376,0.08791946308724832,21340.921401148305,10935.64374757067,3308.474205385122
Philippines,PHL,696.346780059737,89.83056640625,100513138,0.3610050890585242,0.35273536895674296,0.2767175572519084,22697.90979463611,22177.957675992457,17398.39781615279
Poland,POL,3971.79976131055,100,38011735,0.4066168623265742,0.21451440768409816,0.2830546661923396,61388.98078975449,32386.312700106693,42734.17822838844
Portugal,PRT,4662.60079980294,100,10401062,0.4158836010912398,0.2622006668687481,0.2943316156411034,20168.691118520754,12715.6835404668,14273.90603213094
Qatar,QAT,14781.648325999,100,2459198,0.21148036253776434,0.4561933534743202,0.17069486404833836,7687.522658610291,16583.084592145056,6204.929003021163
Romania,ROU,2584.41178726443,100,19908979,0.5865022267899965,0.2254196642685851,0.11510791366906475,30177.299075025694,11598.517985611512,5922.64748201439
Russian Federation,RUS,6602.65752529282,100,143819666,0.5133781820961699,0.2312514333766532,0.10561119180490787,487499.8146930661,219594.51112300283,100287.54284840607
Saudi Arabia,SAU,9401.36676935668,100,30916994,0.12605733082706766,0.5663768796992481,0.28465695488721804,36640.07589285712,164624.23660714278,82738.95982142852
Senegal,SEN,229.351795106376,61,14174731,0.3125,0.425,0.2625,619.7218749999993,842.8217499999989,520.5663749999994
Serbia,SRB,4271.7446669105,99.6607979324826,7130576,0.23080186677980485,0.5948239287229529,0.01103097157403479,7006.3781940294475,18056.879095642067,334.86366368523096
Singapore,SGP,8844.68759301201,100,5469724,0.3902854708138049,0.2096293140178952,0.3881550916063059,18881.23050703026,10141.44695355774,18778.167021729878
Slovak Republic,SVK,5137.07383519398,100,5418649,0.4426835710512414,0.2461701003697834,0.2393026941362916,12322.539883782365,6852.390913893296,6661.229793977818
Slovenia,SVN,6727.99930164211,100,2061980,0.5248618784530387,0.2475138121546961,0.2022099447513812,7281.408839779004,3433.7591160220986,2805.258563535911
South Africa,ZAF,4197.90704691753,86,54545991,0.5566982770134901,0.1646854547882997,0.09877120341926003,109626.10470415396,32430.179246694293,19450.216993455335
Spain,ESP,5355.98700558221,100,46480882,0.454427645788337,0.2314717679728479,0.2654119099043505,113130.21684665233,57625.128108608485,66074.56038259798
Sri Lanka,LKA,531.090576571374,92.1947631835938,20778000,0.4543269230769231,0.35096153846153844,0.19471153846153846,4622.18223598921,3570.574637324998,1980.9352439953757
Sudan,SDN,190.220886811296,44.9,37977655,0.2864864864864865,0.35135135135135137,0.2702702702702703,929.2591137430311,1139.6574036471136,876.6595412670105
Suriname,SUR,3596.77772094427,94.257942199707,553273,0.6111111111111112,0.26666666666666666,0.12222222222222222,1146.2813081953254,500.19547993977835,229.25626163906506
Sweden,SWE,13480.148224391,100,9696110,0.44235634260932416,0.32643657390675823,0.19723527285869166,57818.185760751636,42666.892392482776,25779.636338995257
Switzerland,CHE,7520.16602494502,100,8188649,0.3453253386631135,0.3002442815900511,0.28514323784143897,21265.13435487453,18489.04286031535,17559.120586275814
Tajikistan,TJK,1499.48508590929,99.4261703491211,8252833,0.4049079754601227,0.24539877300613494,0.021034180543383,4981.983106297228,3019.3837007861985,258.80431721024564
Tanzania,TZA,103.683315765216,23.5,49959822,0.19760479041916168,0.5449101796407185,0.19161676646706588,240.5443113772448,663.3191616766447,233.2550898203586
Thailand,THA,2538.79638035364,99.9902725219727,68438730,0.4564814814814815,0.22142857142857145,0.31441798941798943,79306.85506296516,38469.91462631229,54625.44030271464
Togo,TGO,154.665237320778,45.7,7137997,0.28205128205128205,0.4615384615384616,0.1794871794871795,142.30276923076943,232.85907692307728,90.55630769230781
Trinidad and Tobago,TTO,7092.93261163496,100,1362342,0.6368038740920097,0.2542372881355932,0.1089588377723971,6153.435835351086,2456.6949152542356,1052.8692493946726
Tunisia,TUN,1454.64228662211,99.8,11063201,0.4883419689119171,0.24352331606217614,0.19689119170984454,7843.1695310880905,3911.1826839378273,3162.232808290158
Turkey,TUR,2847.12638262318,100,77231907,0.4807132459970888,0.24915089762251336,0.23010674429888406,105703.55494905378,54785.541727316806,50597.94189713728
Turkmenistan,TKM,2678.76351364206,100,5466328,0.3605577689243028,0.20916334661354585,0.0,5279.647410358557,3062.7788844621464,0.0
